,Transcript,Topic,Sentiment,Program,avg_sentiment
168,508,Trump,"[1, 0, -1, 0, -1, 1, 0, -1, -1, -1, -1, 0, 1, -1, 0, -1, -1, 0]",Fox News Network FOX HANNITY,-0.3333333333333333
169,508,Senate,"[0, 0, -1, 0, -1, -1, -1, 1, 0, -1, 0]",Fox News Network FOX HANNITY,-0.36363636363636365
170,508,Democrats,"[-1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, 0, -1]",Fox News Network FOX HANNITY,-0.8235294117647058
171,508,John Bolton,"[0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, -1, 0, -1, 0, -1, 0, 0]",Fox News Network FOX HANNITY,-0.2777777777777778
172,508,Ukraine,"[0, 1, 0, 0, 0, -1, 1, 1, 0, 0, 0, 0, 1, -1]",Fox News Network FOX HANNITY,0.14285714285714285
173,511,Russians,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0]",Fox News Network FOX HANNITY,-0.05
174,511,Russia,"[-1, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, 0]",Fox News Network FOX HANNITY,-0.35
175,511,Trump,"[0, 1, 0, -1, 0, -1, -1, -1, 0, 1, 0, 0, -1, -1, 0, 0, 0, -1, 0]",Fox News Network FOX HANNITY,-0.2631578947368421
176,511,Ukraine,"[-1, -1, -1, 0, -1, -1, -1, -1, -1, 1]",Fox News Network FOX HANNITY,-0.7
177,511,Adam Schiff,"[-1, 1, 0, -1, 0, 1, 1, 1, 0, 0, -1, -1, -1, 1, 0, 0]",Fox News Network FOX HANNITY,0.0
178,513,John Bolton,"[0, 0, -1, 0, 0, 0, -1, 1, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network FOX HANNITY,-0.15789473684210525
179,513,Ukraine,"[-1, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, 0, 0, -1]",Fox News Network FOX HANNITY,-0.7333333333333333
180,513,Democrats,"[-1, -1, -1, -1, -1, 0, 0, -1, -1, 0, -1, -1, -1, -1]",Fox News Network FOX HANNITY,-0.7857142857142857
181,513,Bolton,"[-1, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, -1, 0, 0]",Fox News Network FOX HANNITY,-0.2
182,513,Joe,"[1, 0, -1, 0, 0, 0, -1, -1, -1, -1, 0, 0, -1, -1, 1, 0, -1, -1, -1, -1]",Fox News Network FOX HANNITY,-0.45
183,514,House,"[-1, -1, -1, -1, -1, 0, -1, 0, 0, -1, -1, -1, -1, 0, -1, -1, -1]",Fox News Network FOX HANNITY,-0.7647058823529411
184,514,Michael Waltz,"[-1, 0, -1]",Fox News Network FOX HANNITY,-0.6666666666666666
185,514,Mike Johnson,"[-1, 0, -1]",Fox News Network FOX HANNITY,-0.6666666666666666
186,514,Joe,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",Fox News Network FOX HANNITY,-1.0
187,514,Trump,"[-1, -1, -1, -1, -1, -1, -1, -1, 0, 1, -1, 0, -1, 0, -1, -1, -1, -1]",Fox News Network FOX HANNITY,-0.7222222222222222
188,520,Democrats,"[-1, -1, -1, 0, 0, -1, 0, 0, 0, -1, -1, -1, -1, -1, -1]",Fox News Network FOX HANNITY,-0.6666666666666666
189,520,Senate,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network FOX HANNITY,0.0
190,520,Trump,"[-1, -1, 0, 0, 1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",Fox News Network FOX HANNITY,-0.6666666666666666
191,520,American,"[-1, -1, -1, -1, 0, -1, -1, 0, -1, 0, 1, 0, 0]",Fox News Network FOX HANNITY,-0.46153846153846156
192,520,Ukraine,"[-1, 1, -1, 1, 0, 1, -1]",Fox News Network FOX HANNITY,0.0
193,537,Trump,"[-1, -1, 0, -1, 1, -1, -1, 0, 0, -1, -1, 0, -1, -1, 0, 0]",Fox News Network MEDIA BUZZ,-0.5
194,537,American,"[0, -1, 0, 0, 1, 0, 0, 1, -1]",Fox News Network MEDIA BUZZ,0.0
195,537,Soleimani,"[-1, -1, -1, 0, -1, -1, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0]",Fox News Network MEDIA BUZZ,-0.4375
196,537,Iran,"[-1, -1, 0, -1, 0, 0, 0, 0, -1, -1, -1, 0, 0, -1, 1, -1]",Fox News Network MEDIA BUZZ,-0.4375
197,537,Iraq,"[-1, -1, 0, -1, -1, -1, -1, -1, 0, 0, 0, 0]",Fox News Network MEDIA BUZZ,-0.5833333333333334
198,546,Democrats,"[0, 0, -1, -1, 0, -1, -1, -1, -1, 0, -1, -1, -1, 0, -1, -1, 0, -1, 0, -1]",Fox News Network FOX HANNITY,-0.65
199,546,Trump,"[-1, 0, -1, 0, 1, 1, 0, 0, 1, -1, -1, 0, 0, -1, 0, 0]",Fox News Network FOX HANNITY,-0.125
200,546,Senate,"[-1, -1, -1, 0, 0, 0, -1, 0, 0, 1, -1]",Fox News Network FOX HANNITY,-0.36363636363636365
201,546,Lev Parnas,"[0, 0, -1, -1, -1, 0, 0, 0, 0, -1, -1, 0, 0]",Fox News Network FOX HANNITY,-0.38461538461538464
202,546,Donald Trump,"[0, -1, 1, -1, 0, -1, 0, -1, -1, 0]",Fox News Network FOX HANNITY,-0.4
203,584,America,"[-1, 0, -1, -1, -1, 1, -1, 1, -1, -1, -1]",Fox News Network TUCKER CARLSON TONIGHT,-0.5454545454545454
204,584,Washington,"[0, 0, -1, 0, 0, 0, 0, -1]",Fox News Network TUCKER CARLSON TONIGHT,-0.25
205,584,Iran,"[0, -1, -1, 0, -1, 0, -1, 0, -1, 0, 0, 0]",Fox News Network TUCKER CARLSON TONIGHT,-0.4166666666666667
206,584,the Royal Family,"[0, -1, -1, -1, 0, 0, 0, 1, -1]",Fox News Network TUCKER CARLSON TONIGHT,-0.3333333333333333
207,600,Senate,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 1, 0, -1, 0, 0, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.1
208,600,Democrats,"[-1, -1, 0, 1, -1, 0, 0, 0, 0, 0, 0, -1, -1, 0, -1, 0, -1, 0, 0, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.35
209,600,China,"[0, -1, 0, 0, 0, 0, 1, 0, -1, -1, 0, -1, 0, 0, 0, -1, -1, -1, 0, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.35
210,600,House,"[0, -1, -1, 0, -1, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, -1, -1, 0, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.42105263157894735
211,600,Trump,"[-1, 0, 1, 0, 1, 1, 0, -1, 0, 0, 1, -1, 0, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,0.0
212,601,House,"[-1, 0, -1, 0, -1, -1, 0, 0, -1, -1, -1, -1, 0, -1, -1, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.5882352941176471
213,601,Burisma,"[-1, -1, -1, -1, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, -1, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.45
214,601,Hunter Biden,"[-1, 0, -1, -1, 0, -1, 0, 0, 0, -1, -1, 0, 0, -1, -1, 0, 0, -1, -1, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.5
215,601,Ukrainian,"[-1, -1, -1, 0, -1, -1, 0, 0, 0, -1, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.5
216,601,Zlochevsky,"[0, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.7647058823529411
217,646,Iranian,"[0, 0, -1, -1, 0, 0, 1, 0, -1, -1, -1, -1, 0, 0, -1, -1]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.4375
218,646,American,"[1, -1, 0, 0, 0, 0, 1, 0, -1, -1, -1, -1, -1, -1, -1, 0, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.35294117647058826
219,646,Senate,"[-1, 0, 0, 0, 0, 0, -1, 0, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.2222222222222222
220,646,Iowa,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,0.09090909090909091
221,646,Trump,"[0, 0, 0, 0, 1, 0, 1, 0, 0, -1, -1, -1, -1, -1]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.21428571428571427
222,648,Trump,"[0, -1, 0, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1]",Fox News Network THE STORY WITH MARTHA MACCALLUM,-0.17647058823529413
223,648,Iran,"[-1, 0, 0, 0, 0, 0, 0, 0, 1, -1, 0, -1]",Fox News Network THE STORY WITH MARTHA MACCALLUM,-0.16666666666666666
224,648,Martha,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,0.0
225,648,Democrats,"[0, 0, 0, -1, -1, 0, 1, 0, -1, -1, 0, -1, 0, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,-0.2857142857142857
226,648,Joe Biden,"[0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,-0.07142857142857142
227,656,Iran,"[-1, 0, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, 0]",Fox News Network INGRAHAM ANGLE,-0.7333333333333333
228,656,Trump,"[0, 0, -1, -1, 0, 0, 0, 0, 1]",Fox News Network INGRAHAM ANGLE,-0.1111111111111111
229,656,Senate,"[0, 0, 0, 0, 0, 0]",Fox News Network INGRAHAM ANGLE,0.0
230,656,the United States,"[0, 0, 0, 0, 0, 0, 0]",Fox News Network INGRAHAM ANGLE,0.0
231,656,China,"[0, -1, 0, -1, 1, 0, 0, 0]",Fox News Network INGRAHAM ANGLE,-0.125
232,699,Charles,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,0.0
233,699,China,"[0, 0, 0, 0, -1, -1, -1, 0, 0, -1, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.45454545454545453
234,699,Trump,"[-1, 1, 0, 0, 1, -1, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,0.0
235,699,Medicare,"[1, 1, 1, -1, 0, 1, -1, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,0.125
236,699,Democrats,"[-1, 0, -1, -1, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.5
237,706,Senate,"[-1, 0, 1, -1, 0, -1, -1, 0, 0, 0, -1, -1, -1, 0, 0]",Fox News Network INGRAHAM ANGLE,-0.4
238,706,House,"[-1, -1, 0, -1, 0, -1, 0, -1, -1, 0, 0, -1, -1, -1, 1, -1, -1, -1]",Fox News Network INGRAHAM ANGLE,-0.6111111111111112
239,706,Trump,"[0, 0, 1, 0, 0, -1, 0, 0, -1, 1, 0, 0, 0, -1, 0, 0, 1, 0]",Fox News Network INGRAHAM ANGLE,0.0
240,706,Democrats,"[-1, 0, -1, -1, -1, 0, -1, 0, -1, -1, -1, -1, -1]",Fox News Network INGRAHAM ANGLE,-0.7692307692307693
241,706,Laura,"[0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0]",Fox News Network INGRAHAM ANGLE,-0.07692307692307693
242,740,Iran,"[0, -1, 0, 0, -1, 0, -1, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, -1, -1, -1]",Fox News Network FOX AND FRIENDS,-0.4
243,740,U.N.,"[0, 0, 0, -1, 0, -1]",Fox News Network FOX AND FRIENDS,-0.3333333333333333
244,740,Iranian,"[0, -1, -1, 0, 0, -1, -1, -1, -1, -1]",Fox News Network FOX AND FRIENDS,-0.7
245,740,Soleimani,"[0, -1, 0, -1, -1, -1, -1]",Fox News Network FOX AND FRIENDS,-0.7142857142857143
246,741,VA,"[0, 0, 0, 0, -1, 0, -1]",Fox News Network FOX AND FRIENDS,-0.2857142857142857
247,742,Hollywood,"[-1, -1, 0, -1, -1, 0, -1]",Fox News Network FOX AND FRIENDS,-0.7142857142857143
248,742,World War III,"[-1, -1, -1, -1, -1]",Fox News Network FOX AND FRIENDS,-1.0
249,742,Iraq,"[0, -1, 0, 0, -1, 0]",Fox News Network FOX AND FRIENDS,-0.3333333333333333
250,742,Trump,"[-1, -1, -1, -1, 0]",Fox News Network FOX AND FRIENDS,-0.8
251,750,Iowa,"[1, 0, 0, 0, 0, 0, 1, 0, 0, -1, 1, 0, 0, 0, -1, 0]",Fox News Network FOX NEWS SUNDAY,0.0625
252,750,Trump,"[-1, 0, 0, -1, -1, -1, 0, 0, 0, -1, -1, -1, 0, 0, 0, 0, 0, -1, 0, 0]",Fox News Network FOX NEWS SUNDAY,-0.4
253,750,Chris,"[0, -1, 0, 1, 0, 0, 0, 0, 1, 0, 0, -1, 1]",Fox News Network FOX NEWS SUNDAY,0.07692307692307693
254,750,Democratic,"[0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0]",Fox News Network FOX NEWS SUNDAY,-0.1875
255,750,Democrats,"[0, 0, -1, -1, 0, -1, -1, -1, 0, -1, 1]",Fox News Network FOX NEWS SUNDAY,-0.45454545454545453
256,790,Senate,"[0, 0, 0, 0, -1, -1, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0]",Fox News Network FOX NEWS @ NIGHT,-0.2222222222222222
257,790,Clinton,"[0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0]",Fox News Network FOX NEWS @ NIGHT,-0.125
258,790,Democrats,"[-1, -1, -1, 0, 0, -1, 0, 0, -1, -1, -1, 0]",Fox News Network FOX NEWS @ NIGHT,-0.5833333333333334
259,790,Shannon,"[0, 0, 0, 0, 0, 0, 0]",Fox News Network FOX NEWS @ NIGHT,0.0
260,790,Trump,"[0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0]",Fox News Network FOX NEWS @ NIGHT,-0.125
261,811,Benghazi,"[0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, -1]",Fox News Network THE FIVE,-0.25
262,811,Trump,"[0, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, -1]",Fox News Network THE FIVE,-0.08333333333333333
263,811,Democrats,"[-1, -1, -1, 0, -1, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0]",Fox News Network THE FIVE,-0.4
264,811,New York,"[0, 0, 0, 0, -1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0]",Fox News Network THE FIVE,-0.2
265,811,Lawrence,"[0, 0, 0, 0, 0, 0, -1, 0, 0]",Fox News Network THE FIVE,-0.1111111111111111
266,832,Iran,"[-1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, 0, 0, 0, -1, 0]",Fox News Network TUCKER CARLSON TONIGHT,-0.7058823529411765
267,832,Tucker,"[0, 0, -1, 0]",Fox News Network TUCKER CARLSON TONIGHT,-0.25
268,832,Washington,"[-1, 0, -1, 0, -1, -1, -1, -1]",Fox News Network TUCKER CARLSON TONIGHT,-0.75
269,832,Iraq,"[0, 0, 0, 0, -1, -1, 0]",Fox News Network TUCKER CARLSON TONIGHT,-0.2857142857142857
270,833,Trump,"[-1, -1, -1, 0, 0, 0, 0, 1, 0, -1, -1, 1, 1, 0, 0, 1, 0, 0, 0, 1]",Fox News Network INGRAHAM ANGLE,0.0
271,833,U.S.,"[0, 0, -1, 0, 0, 0, 0, -1, -1, -1, -1]",Fox News Network INGRAHAM ANGLE,-0.45454545454545453
272,833,Americans,"[-1, -1, -1, -1, -1, 0, 1, 1, 1, 1, -1, 0, 0, 1, 0]",Fox News Network INGRAHAM ANGLE,-0.06666666666666667
273,833,Iran,"[1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1]",Fox News Network INGRAHAM ANGLE,-0.625
274,856,Trump,"[1, -1, -1, -1, 0, 0, 0, -1, -1, -1, 0, 0, -1, 0, 0, -1, -1, 1, 1, 0]",Fox News Network INGRAHAM ANGLE,-0.3
275,856,Democrats,"[-1, 0, 0, -1, -1, 0, -1, -1, -1, 0, 0, 0, -1, -1, -1, -1, -1, 0]",Fox News Network INGRAHAM ANGLE,-0.6111111111111112
276,856,Ukraine,"[-1, 1, 0, 0, 0, -1, 0, -1, -1, -1, 0, 0, -1]",Fox News Network INGRAHAM ANGLE,-0.38461538461538464
277,856,Senate,"[-1, -1, -1, 0, 0, -1, 0, 1, 0]",Fox News Network INGRAHAM ANGLE,-0.3333333333333333
278,856,Laura,"[0, 0, 0, 0, 0, 1]",Fox News Network INGRAHAM ANGLE,0.16666666666666666
279,857,Trump,"[-1, 0, -1, 0, -1, 1, 0, -1, 0, 1, -1, 0, 1, -1, 0, -1, 1, 1, 1]",Fox News Network THE NEXT REVOLUTION,-0.05263157894736842
280,857,China,"[0, 1, -1, 0, 0, 0, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, 0, -1]",Fox News Network THE NEXT REVOLUTION,-0.5
281,857,Huawei,"[-1, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1]",Fox News Network THE NEXT REVOLUTION,-0.8461538461538461
282,857,Democrats,"[1, -1, 0, -1, 0, -1, 0, 0, -1, 0]",Fox News Network THE NEXT REVOLUTION,-0.3
283,857,American,"[1, 1, 1, 1, 1, 1, -1, 1, -1, -1, 0, -1, 0]",Fox News Network THE NEXT REVOLUTION,0.23076923076923078
284,859,China,"[0, 0, 0, 1, 0, -1, 0, 0, 0, -1, 0, 0, 1, 0, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,0.0
285,859,Senate,"[0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.07142857142857142
286,859,Trump,"[0, -1, 0, -1, -1, -1, -1, -1, 0, 1, 0, -1, 0, -1, 1, -1]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.4375
287,859,House,"[0, 0, 0, -1, 0, 0, 0, -1, -1, 0, 0, -1, -1, 0, -1]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.4
288,859,Democrats,"[-1, -1, -1, 0, -1, -1, -1, 0, 0, 0, -1, -1]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.6666666666666666
289,860,Senate,"[-1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0]",Fox News Network FOX HANNITY,-0.2
290,860,Democrats,"[-1, -1, -1, -1, -1, -1, 0, -1, -1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1]",Fox News Network FOX HANNITY,-0.8
291,860,House,"[-1, 0, -1, -1, 0, -1, -1, -1, 0, 0, 0, 0, -1, -1, -1, 0, 0]",Fox News Network FOX HANNITY,-0.5294117647058824
292,860,American,"[-1, 0, 1, -1, 0, 1, 0, 0, -1, -1, 1, 1, 0, 0, 0, 0, -1, 1, -1]",Fox News Network FOX HANNITY,-0.05263157894736842
293,860,Devin Nunes,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",Fox News Network FOX HANNITY,0.05
294,861,Senate,"[0, -1, 1, -1, 0, 0, 0, 1, 1, 1, 0]",Fox News Network TUCKER CARLSON TONIGHT,0.18181818181818182
295,861,Trump,"[-1, -1, -1, -1, -1, -1, -1, 1, -1, 0, -1, 0, 0, -1, 1, -1, -1, 0, -1]",Fox News Network TUCKER CARLSON TONIGHT,-0.5789473684210527
296,861,House,"[0, -1, 0, -1, 0, -1, -1, 0, 0, 0, 0, 0]",Fox News Network TUCKER CARLSON TONIGHT,-0.3333333333333333
297,861,Democrats,"[-1, 1, 1, 0, 0, 0, 1, 1, 1, -1, -1, 1, 1, -1, -1, 0, 0]",Fox News Network TUCKER CARLSON TONIGHT,0.11764705882352941
298,861,American,"[0, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1]",Fox News Network TUCKER CARLSON TONIGHT,-0.1875
299,862,House,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,0.06666666666666667
300,862,Ukraine,"[0, -1, -1, -1, 1, 0, 0, -1, -1, 0, -1, -1, -1, 0, 0, -1, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.47058823529411764
301,862,OMB,"[0, 0, 0, 0, 0, -1, -1, 0, 0, 0, -1, 0, 0, -1, -1, 0, 0, -1, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.3157894736842105
302,862,Senate,"[-1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.23076923076923078
303,862,Trump,"[-1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.8571428571428571
304,863,House,"[0, 0, -1, 0, -1, -1, -1, 0, -1, 0, -1]",Fox News Network INGRAHAM ANGLE,-0.5454545454545454
305,863,Democrats,"[-1, -1, -1, -1, -1, -1, 0, -1, -1, 0, 0, -1, -1, 0, 0, -1, 1, 1, -1]",Fox News Network INGRAHAM ANGLE,-0.5263157894736842
306,863,Senate,"[0, -1, 0, 0, 0, 0, 0, 0, 1, -1, 0, -1, 0]",Fox News Network INGRAHAM ANGLE,-0.15384615384615385
307,863,Adam Schiff,"[-1, 0, -1, -1, -1, 0, -1, -1, -1, -1, 0, 0, -1, -1, -1, 0, 0, 0, 1, 0]",Fox News Network INGRAHAM ANGLE,-0.5
308,863,American,"[0, -1, 0, 0, 0, 0, 0, -1, -1, 1, -1, 1, 0, -1, 0, -1]",Fox News Network INGRAHAM ANGLE,-0.25
309,864,Senate,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",Fox News Network JUSTICE WITH JUDGE PIRRO,0.4
310,864,House,"[-1, 0, 0, 0, -1, 0, 0, -1, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0]",Fox News Network JUSTICE WITH JUDGE PIRRO,-0.2777777777777778
311,864,Trump,"[-1, 0, 0, 1, 1, 0, -1, 0, 0, -1, 0, 0, -1, 0]",Fox News Network JUSTICE WITH JUDGE PIRRO,-0.14285714285714285
312,864,American,"[-1, -1, -1, -1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0]",Fox News Network JUSTICE WITH JUDGE PIRRO,-0.07142857142857142
313,864,Democrats,"[-1, -1, -1, -1, -1, 0, -1, -1, -1, -1]",Fox News Network JUSTICE WITH JUDGE PIRRO,-0.9
314,869,Senate,"[0, 0, 0, 0, 0, 0, -1, 0, -1, 0]",Fox News Network THE FIVE,-0.2
315,869,House,"[0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network THE FIVE,-0.10526315789473684
316,869,Democrats,"[0, 0, -1, 0, -1, 0, -1, 0, 0, -1, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",Fox News Network THE FIVE,-0.2
317,869,Nancy Pelosi,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -1]",Fox News Network THE FIVE,0.05
318,869,Republicans,"[0, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, 0, -1, 0]",Fox News Network THE FIVE,-0.1875
319,870,Iran,"[0, -1, 0, 0, -1, 0, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1]",Fox News Network INGRAHAM ANGLE,-0.65
320,870,Trump,"[1, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -1, 1, 0, -1]",Fox News Network INGRAHAM ANGLE,-0.15789473684210525
321,870,Iranian,"[-1, 0, -1, 0, 0, 0, 0, -1, 0, 0, -1, -1, 1, -1, -1, -1, 0, -1, -1]",Fox News Network INGRAHAM ANGLE,-0.47368421052631576
322,870,Democrats,"[-1, 0, -1, -1, -1, 0, 0, 0, 1, 0, -1]",Fox News Network INGRAHAM ANGLE,-0.36363636363636365
323,870,Senate,"[0, 0, 0, -1, 0, 0, 1, 0, 0, 0]",Fox News Network INGRAHAM ANGLE,0.0
324,871,Senate,"[-1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network INGRAHAM ANGLE,-0.07692307692307693
325,871,Democrats,"[-1, 0, -1, -1, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, 1]",Fox News Network INGRAHAM ANGLE,-0.6875
326,871,Russia,"[-1, 0, -1, 0, 0, 0, -1, -1, 0, -1, 0, 0, -1, 0, 0, 0, -1, -1, -1, -1, 0]",Fox News Network INGRAHAM ANGLE,-0.47619047619047616
327,871,Trump,"[-1, 0, 0, 0, -1, 0, -1, -1, -1, -1, -1, 0, -1, -1, 0, 0]",Fox News Network INGRAHAM ANGLE,-0.5625
328,871,Hunter Biden,"[-1, -1, 0, -1, 0, 0, 0, -1, -1, -1]",Fox News Network INGRAHAM ANGLE,-0.6
329,873,Trump,"[-1, 1, 0, -1, 0, -1, 0, -1, -1, 1, 0, -1, 0, 0, -1, 0, 1, 0, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,-0.21052631578947367
330,873,China,"[1, 0, 0, -1, 0, 0, 0, 0, 0, 1, -1, 0, 1, -1, 1, 1, 1, 1]",Fox News Network THE STORY WITH MARTHA MACCALLUM,0.2222222222222222
331,873,Senate,"[0, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,-0.2857142857142857
332,873,Martha,"[0, 0, -1, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,-0.21052631578947367
333,873,Democrats,"[-1, 0, 0, -1, 0, -1, -1, 0, 0, -1, -1, -1, -1]",Fox News Network THE STORY WITH MARTHA MACCALLUM,-0.6153846153846154
334,887,Trump,"[0, 1, 0, 1, -1, 0, 0, -1, 0, -1, -1, 0, 0, 1, 0, 0, 1, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,0.0
335,887,Iowa,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,0.125
336,887,China,"[0, 0, -1, 0, 1, 1, 0, -1, -1, 0, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,-0.08333333333333333
337,887,Bernie Sanders,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,0.4375
338,887,Charles,"[0, 0, 0, 0, 1, 0, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,0.125
